,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date,Current Description
259,Polaniec,50.4332,21.2812,40.21,75,48,5.7,scattered clouds,PL,2021-10-24 22:23:09,
260,Piacabucu,-10.4056,-36.4344,78.6,79,73,12.77,broken clouds,BR,2021-10-24 22:23:09,
261,Port Lincoln,-34.7333,135.8667,55.31,67,0,14.7,clear sky,AU,2021-10-24 22:19:34,
262,Kaitangata,-46.2817,169.8464,58.73,73,100,3.06,overcast clouds,NZ,2021-10-24 22:23:10,
263,Broken Hill,-31.95,141.4333,55.47,37,0,13.35,clear sky,AU,2021-10-24 22:23:10,
264,Cherskiy,68.75,161.3,-15.03,99,29,5.03,scattered clouds,RU,2021-10-24 22:20:50,
265,Nishihara,26.1842,127.7558,74.48,74,20,8.05,few clouds,JP,2021-10-24 22:23:11,
266,Camacha,33.0833,-16.3333,65.62,68,40,12.66,scattered clouds,PT,2021-10-24 22:21:44,
267,Slave Lake,55.2834,-114.769,37.38,100,90,12.66,mist,CA,2021-10-24 22:23:11,
268,Abeche,13.8292,20.8324,84.31,22,7,15.17,clear sky,TD,2021-10-24 22:23:12,
269,West Bay,19.3667,-81.4167,87.08,76,20,5.01,few clouds,KY,2021-10-24 22:22:57,
270,Lewiston,44.1003,-70.2148,51.22,60,1,4.61,clear sky,US,2021-10-24 22:19:13,
271,Fort-De-France,14.6089,-61.0733,82.42,58,40,11.5,scattered clouds,MQ,2021-10-24 22:23:12,
272,Longyearbyen,78.2186,15.6401,17.44,79,40,2.3,scattered clouds,SJ,2021-10-24 22:23:12,
273,Itaituba,-4.2761,-55.9836,80.76,83,20,5.75,few clouds,BR,2021-10-24 22:23:13,
274,Iquique,-20.2208,-70.1431,62.64,72,32,2.17,scattered clouds,CL,2021-10-24 22:23:13,
275,Namtsy,62.7161,129.6658,32.11,97,100,4.29,overcast clouds,RU,2021-10-24 22:23:14,
276,Barra Do Corda,-5.5,-45.25,82.54,69,99,1.23,overcast clouds,BR,2021-10-24 22:23:14,
277,Kollam,8.8833,76.6,78.67,90,98,6.85,overcast clouds,IN,2021-10-24 22:21:37,
278,Bestobe,52.4994,73.0975,46.47,44,97,18.72,overcast clouds,KZ,2021-10-24 22:23:14,
279,Aguimes,27.9054,-15.4461,68.63,69,75,9.22,broken clouds,ES,2021-10-24 22:23:15,
280,Byron Bay,-28.65,153.6167,75.06,72,49,7.09,scattered clouds,AU,2021-10-24 22:21:07,
281,Rockford,42.2711,-89.094,47.64,81,100,18.19,moderate rain,US,2021-10-24 22:22:55,
282,Sorland,67.667,12.6934,44.87,96,100,21.94,light rain,NO,2021-10-24 22:23:15,
283,Puteyets,65.1716,57.091,26.74,94,100,4.18,overcast clouds,RU,2021-10-24 22:23:16,
284,Antalaha,-14.9003,50.2788,74.19,91,96,3.76,light rain,MG,2021-10-24 22:23:16,
285,Caucaia,-3.7361,-38.6531,82.35,74,0,8.05,clear sky,BR,2021-10-24 22:23:16,
286,Zhigansk,66.7697,123.3711,6.12,100,74,5.61,broken clouds,RU,2021-10-24 22:23:17,
287,Osypenko,46.9136,36.8253,44.83,75,30,12.03,scattered clouds,UA,2021-10-24 22:23:17,
288,Lianran,24.9227,102.485,54.14,97,100,2.8,overcast clouds,CN,2021-10-24 22:23:17,
289,Tromso,69.6496,18.957,33.39,74,0,3.44,clear sky,NO,2021-10-24 22:18:50,
290,Biak,-0.9131,122.8766,76.51,74,83,2.44,broken clouds,ID,2021-10-24 22:23:18,
291,Viedma,-40.8135,-62.9967,78.76,20,26,25.52,scattered clouds,AR,2021-10-24 22:20:26,
292,Lagoa,39.05,-27.9833,66.09,74,18,9.98,few clouds,PT,2021-10-24 22:23:19,
293,Perle,49.8117,5.7658,40.98,96,0,3.51,clear sky,LU,2021-10-24 22:23:19,
294,Meadow Lake,34.8014,-106.5436,77.49,16,3,16.22,clear sky,US,2021-10-24 22:23:19,
295,Saint-Leu,-21.15,55.2833,72.46,89,55,6.33,broken clouds,RE,2021-10-24 22:23:20,
296,Szaszvar,46.2767,18.3757,41.36,66,0,4.76,clear sky,HU,2021-10-24 22:23:20,
297,Chunoyar,57.4467,97.3217,39.96,76,92,11.3,overcast clouds,RU,2021-10-24 22:23:20,
298,Rocky Mountain House,52.3668,-114.9188,51.91,50,47,13.8,scattered clouds,CA,2021-10-24 22:23:21,
299,Rio Gallegos,-51.6226,-69.2181,48.25,27,0,31.07,clear sky,AR,2021-10-24 22:21:34,
300,Torbay,47.6666,-52.7314,55.58,88,90,26.46,very heavy rain,CA,2021-10-24 22:23:21,
301,Lulea,65.5842,22.1547,39.27,100,90,8.05,light rain,SE,2021-10-24 22:23:22,
302,Solnechnyy,50.7214,136.6319,32.54,88,7,3.83,clear sky,RU,2021-10-24 22:23:22,
303,Iracoubo,5.4802,-53.2011,78.28,90,99,9.84,moderate rain,GF,2021-10-24 22:23:23,
304,Sorong,-0.8833,131.25,80.24,82,99,7.09,overcast clouds,ID,2021-10-24 22:23:23,
305,Rolla,37.9514,-91.7713,76.71,65,90,8.99,overcast clouds,US,2021-10-24 22:23:23,
306,Desaguadero,-16.5656,-69.0417,61.18,25,58,8.9,broken clouds,PE,2021-10-24 22:23:24,
307,Margate,51.3813,1.3862,57.88,89,94,1.99,overcast clouds,GB,2021-10-24 22:20:57,
308,Muros,42.7762,-9.0603,60.1,91,40,1.95,scattered clouds,ES,2021-10-24 22:23:24,
309,Belmonte,-15.8631,-38.8828,77.5,88,39,8.75,scattered clouds,BR,2021-10-24 22:23:24,
310,Iquitos,-3.7481,-73.2472,91.44,62,20,4.61,few clouds,PE,2021-10-24 22:23:25,
311,Djibo,14.1022,-1.6306,88.88,38,23,8.21,few clouds,BF,2021-10-24 22:23:25,
312,Key West,24.5557,-81.7826,86.0,74,1,5.75,clear sky,US,2021-10-24 22:23:25,
313,Abu Samrah,35.3029,37.1841,63.81,64,0,4.25,clear sky,SY,2021-10-24 22:23:26,
314,Jha Jha,24.7667,86.3667,73.78,66,52,3.2,broken clouds,IN,2021-10-24 22:23:26,
315,Vila,42.0304,-8.1588,51.93,93,89,1.32,overcast clouds,PT,2021-10-24 22:23:27,
316,Kavieng,-2.5744,150.7967,83.84,71,65,10.85,broken clouds,PG,2021-10-24 22:23:27,
317,Thap Than,15.4606,99.8917,71.69,92,84,2.28,broken clouds,TH,2021-10-24 22:23:27,
318,Verkhnyaya Inta,65.9811,60.3094,25.21,96,100,9.91,light snow,RU,2021-10-24 22:23:28,
319,Suntar,62.1444,117.6319,33.78,98,100,6.53,light rain,RU,2021-10-24 22:23:28,
320,Port-Gentil,-0.7193,8.7815,78.76,89,75,8.05,broken clouds,GA,2021-10-24 22:23:29,
321,Greencastle,39.6445,-86.8647,73.51,94,75,5.75,mist,US,2021-10-24 22:19:39,
322,Ca Mau,9.1769,105.15,75.83,92,100,4.36,light rain,VN,2021-10-24 22:23:29,
323,Mogadishu,2.0371,45.3438,79.43,81,45,13.76,scattered clouds,SO,2021-10-24 22:22:19,
324,Umred,20.85,79.3333,68.29,66,5,4.03,clear sky,IN,2021-10-24 22:23:30,
325,Cap-Aux-Meules,47.3821,-61.8597,50.05,93,90,24.16,mist,CA,2021-10-24 22:23:30,
326,Ayagoz,47.9714,80.4392,35.64,44,5,6.76,clear sky,KZ,2021-10-24 22:23:30,
327,Aragarcas,-15.8975,-52.2508,70.41,89,100,8.3,overcast clouds,BR,2021-10-24 22:23:31,
328,Malm,64.0721,11.2172,49.78,97,100,4.7,overcast clouds,NO,2021-10-24 22:23:31,
329,Mitsamiouli,-11.3847,43.2844,79.03,85,8,12.55,clear sky,KM,2021-10-24 22:23:31,
330,Kamaishi,39.2667,141.8833,53.37,72,35,4.63,scattered clouds,JP,2021-10-24 22:23:32,
331,Aksarka,66.5606,67.7975,19.49,89,12,8.52,few clouds,RU,2021-10-24 22:23:32,
332,Harper,4.375,-7.7169,77.58,83,100,7.18,overcast clouds,LR,2021-10-24 22:23:32,
333,Tessalit,20.1986,1.0114,87.42,19,38,10.0,scattered clouds,ML,2021-10-24 22:23:33,
334,Dakar,14.6937,-17.4441,79.68,83,0,0.0,clear sky,SN,2021-10-24 22:20:32,
335,Bumbuna,9.05,-11.7333,72.36,98,80,2.17,moderate rain,SL,2021-10-24 22:23:34,
336,Linxi,39.7,118.4333,48.04,71,38,3.74,scattered clouds,CN,2021-10-24 22:23:34,
337,Dire,12.2833,-10.9667,76.24,87,97,4.81,light rain,ML,2021-10-24 22:23:34,
338,Praia Da Vitoria,38.7333,-27.0667,66.45,82,20,9.82,few clouds,PT,2021-10-24 22:23:35,
339,Pokhara,28.2333,83.9833,59.97,64,0,6.53,clear sky,NP,2021-10-24 22:23:35,
340,Coos Bay,43.3665,-124.2179,58.98,82,90,20.71,overcast clouds,US,2021-10-24 22:23:35,
341,Luderitz,-26.6481,15.1594,59.32,70,0,3.18,clear sky,NA,2021-10-24 22:23:36,
342,Porbandar,21.6422,69.6093,78.24,65,0,6.24,clear sky,IN,2021-10-24 22:23:36,
343,Brownsburg,39.8434,-86.3978,63.75,93,90,4.61,mist,US,2021-10-24 22:23:36,
344,Henties Bay,-22.116,14.2845,58.86,90,0,3.94,clear sky,NA,2021-10-24 22:23:37,
345,Tete,-16.1564,33.5867,89.69,40,0,18.41,clear sky,MZ,2021-10-24 22:23:37,
346,Alekseyevsk,57.8406,108.3492,38.07,97,100,11.81,light rain,RU,2021-10-24 22:23:37,
347,Allentown,40.6084,-75.4902,58.75,75,40,4.61,scattered clouds,US,2021-10-24 22:20:00,
348,Smithers,54.7804,-127.1743,35.92,80,75,4.61,broken clouds,CA,2021-10-24 22:23:38,
349,Kupang,-10.1667,123.5833,77.58,94,20,1.14,few clouds,ID,2021-10-24 22:23:38,
350,Gravdal,68.1214,13.5031,39.38,95,100,16.67,light rain,NO,2021-10-24 22:23:39,
351,Dezhou,37.4486,116.2925,49.01,72,19,7.56,few clouds,CN,2021-10-24 22:23:39,
352,Lompoc,34.6391,-120.4579,71.74,76,90,6.91,overcast clouds,US,2021-10-24 22:23:09,
353,Avera,33.194,-82.5271,75.7,50,94,4.56,overcast clouds,US,2021-10-24 22:23:39,
354,Touros,-5.1989,-35.4608,81.5,73,28,13.94,scattered clouds,BR,2021-10-24 22:22:32,
355,Dingle,10.9995,122.6711,75.47,92,99,2.64,overcast clouds,PH,2021-10-24 22:21:49,
356,Guerrero Negro,27.9769,-114.0611,70.54,58,0,15.57,clear sky,MX,2021-10-24 22:19:43,
357,San Quintin,30.4833,-115.95,67.3,67,15,17.07,few clouds,MX,2021-10-24 22:23:40,
358,Rafai,4.95,23.9167,68.97,99,100,2.86,light rain,CF,2021-10-24 22:23:40,
359,Pringsewu,-5.3582,104.9744,73.89,97,90,2.35,overcast clouds,ID,2021-10-24 22:23:41,
360,Taoudenni,22.6783,-3.9836,87.28,17,11,10.25,few clouds,ML,2021-10-24 22:23:41,
361,Lovozero,68.005,35.0117,22.86,87,15,10.38,few clouds,RU,2021-10-24 22:23:41,
362,Saint-Augustin,51.226,-58.6502,44.91,89,100,24.94,overcast clouds,CA,2021-10-24 22:23:42,
363,Aquiraz,-3.9014,-38.3911,82.49,74,10,9.44,clear sky,BR,2021-10-24 22:23:31,
364,Aketi,2.7388,23.7833,68.4,99,100,1.74,light rain,CD,2021-10-24 22:23:42,
365,Ponta Delgada,37.7333,-25.6667,65.12,72,20,6.91,few clouds,PT,2021-10-24 22:23:42,
366,Neringa,55.3719,21.0647,51.87,78,91,18.07,overcast clouds,LT,2021-10-24 22:23:43,
367,Grand-Santi,4.25,-54.3833,77.43,88,92,4.18,moderate rain,GF,2021-10-24 22:23:43,
368,Cherepovets,59.1333,37.9,29.32,85,22,7.18,few clouds,RU,2021-10-24 22:23:43,
369,Kisesa,-3.0833,34.15,77.14,45,92,8.19,overcast clouds,TZ,2021-10-24 22:23:44,
370,Aklavik,68.2191,-135.0107,22.03,92,97,2.51,overcast clouds,CA,2021-10-24 22:23:17,
371,Nouadhibou,20.931,-17.0347,71.58,73,85,14.97,overcast clouds,MR,2021-10-24 22:23:38,
372,Homer,59.6425,-151.5483,47.77,83,40,3.44,scattered clouds,US,2021-10-24 22:23:44,
373,Talaya,61.3833,152.75,10.89,92,100,3.69,overcast clouds,RU,2021-10-24 22:23:45,
374,Sal Rei,16.1833,-22.9167,77.56,75,40,16.31,scattered clouds,CV,2021-10-24 22:23:45,
375,Port Blair,11.6667,92.75,79.79,81,70,4.14,broken clouds,IN,2021-10-24 22:23:46,
376,Alamosa,37.4695,-105.87,62.35,22,39,4.12,scattered clouds,US,2021-10-24 22:23:46,
377,Saalfeld,50.65,11.3667,43.14,72,1,5.01,clear sky,DE,2021-10-24 22:23:47,
378,Abu Kamal,34.4506,40.9171,68.16,29,3,3.47,clear sky,SY,2021-10-24 22:23:47,
379,Tra Vinh,9.9347,106.3453,75.69,94,100,3.94,overcast clouds,VN,2021-10-24 22:23:47,
380,Alyangula,-13.8483,136.4192,82.4,63,44,7.9,scattered clouds,AU,2021-10-24 22:21:16,
381,Kiama,-34.6833,150.8667,63.37,55,7,3.74,clear sky,AU,2021-10-24 22:23:48,
382,Praxedis Guerrero,31.3667,-106.0167,82.42,21,6,13.82,clear sky,MX,2021-10-24 22:23:48,
383,Plerin,48.5425,-2.7798,54.75,96,25,3.0,scattered clouds,FR,2021-10-24 22:23:49,
384,Dong Hoi,17.4833,106.6,68.59,81,100,10.18,overcast clouds,VN,2021-10-24 22:23:49,
385,Katakwi,1.8911,33.9661,71.42,65,55,5.35,broken clouds,UG,2021-10-24 22:23:49,
386,Zeya,53.75,127.2667,33.44,95,87,3.09,overcast clouds,RU,2021-10-24 22:23:50,
387,Karnal,29.6833,76.9833,64.78,66,0,4.29,clear sky,IN,2021-10-24 22:23:50,
388,Odemira,37.598,-8.6397,59.16,87,50,2.13,scattered clouds,PT,2021-10-24 22:23:50,
389,Pawayan,28.0667,80.1,68.34,79,1,4.7,clear sky,IN,2021-10-24 22:23:51,
390,Verkhnyaya Toyma,62.2349,44.9985,28.98,90,27,7.74,scattered clouds,RU,2021-10-24 22:19:13,
391,Yarada,17.65,83.2667,77.32,94,75,2.3,mist,IN,2021-10-24 22:23:51,
392,Melbu,68.5044,14.8297,39.31,94,100,8.9,light rain,NO,2021-10-24 22:23:51,
393,Alcanena,39.459,-8.6689,59.07,72,4,5.73,clear sky,PT,2021-10-24 22:23:52,
394,Port Hardy,50.6996,-127.4199,50.18,87,75,13.8,light intensity shower rain,CA,2021-10-24 22:21:36,
395,Nyurba,63.2842,118.3319,32.18,98,100,6.13,overcast clouds,RU,2021-10-24 22:23:52,
396,San Carlos De Bariloche,-41.1456,-71.3082,55.15,47,40,47.18,dust,AR,2021-10-24 22:23:53,
397,Marystown,47.1666,-55.1483,55.85,100,98,10.0,overcast clouds,CA,2021-10-24 22:23:53,
398,Maarianhamina,60.0973,19.9348,49.86,81,75,12.66,broken clouds,AX,2021-10-24 22:23:53,
399,Dolores,-36.3132,-57.6792,59.56,61,0,8.9,clear sky,AR,2021-10-24 22:23:54,
400,Chabahar,25.2919,60.643,78.44,68,0,1.59,clear sky,IR,2021-10-24 22:23:54,
401,Sabzevar,36.2126,57.6819,58.33,23,87,3.4,overcast clouds,IR,2021-10-24 22:23:54,
402,Mumbwa,-14.9783,27.0619,76.08,40,69,1.59,broken clouds,ZM,2021-10-24 22:23:55,
403,Kingisepp,59.3733,28.6134,35.17,84,98,8.39,overcast clouds,RU,2021-10-24 22:23:55,
404,Porto Belo,-27.1578,-48.5531,71.96,69,89,15.79,overcast clouds,BR,2021-10-24 22:22:36,
405,Pachora,20.6667,75.35,70.61,62,1,1.19,clear sky,IN,2021-10-24 22:23:56,
406,Plettenberg Bay,-34.0527,23.3716,54.45,76,0,3.96,clear sky,ZA,2021-10-24 22:23:28,
407,Skalat,49.4273,25.9787,35.2,70,57,2.91,broken clouds,UA,2021-10-24 22:23:56,
408,Haines Junction,60.7522,-137.5108,35.55,69,52,2.3,broken clouds,CA,2021-10-24 22:23:57,
409,Luena,-11.7833,19.9167,65.52,93,100,7.63,light rain,AO,2021-10-24 22:23:57,
410,Bolotnoye,55.6717,84.3981,44.28,83,100,14.52,overcast clouds,RU,2021-10-24 22:23:57,
411,Hokitika,-42.7167,170.9667,60.3,83,97,6.22,overcast clouds,NZ,2021-10-24 22:23:58,
412,Birao,10.2849,22.7882,77.52,42,100,2.33,overcast clouds,CF,2021-10-24 22:23:58,
413,Havelock,34.8791,-76.9013,73.98,81,89,4.5,overcast clouds,US,2021-10-24 22:23:59,
414,Eyl,7.9803,49.8164,77.61,79,48,8.08,scattered clouds,SO,2021-10-24 22:23:59,
415,Prince Rupert,54.3161,-130.3201,53.29,60,100,3.44,overcast clouds,CA,2021-10-24 22:23:59,
416,Cardenas,23.0375,-81.2047,77.76,76,100,2.86,light rain,CU,2021-10-24 22:24:00,
417,Loandjili,-4.7561,11.8578,80.71,83,75,10.36,broken clouds,CG,2021-10-24 22:24:00,
418,Ngunguru,-35.6167,174.5,70.16,97,89,6.62,overcast clouds,NZ,2021-10-24 22:24:00,
419,Nanortalik,60.1432,-45.2371,32.83,97,100,4.21,light snow,GL,2021-10-24 22:24:01,
420,Kavaratti,10.5669,72.642,81.39,76,82,8.93,broken clouds,IN,2021-10-24 22:24:01,
421,Ahuimanu,21.4447,-157.8378,83.91,58,40,18.41,scattered clouds,US,2021-10-24 22:24:02,
422,Marquette,46.5333,-87.6335,42.33,74,88,9.42,overcast clouds,US,2021-10-24 22:24:02,
423,Bethel,41.3712,-73.414,55.98,74,90,4.61,overcast clouds,US,2021-10-24 22:20:57,
424,Monroe,43.1501,-77.6831,54.91,75,75,4.61,broken clouds,US,2021-10-24 22:24:03,
425,Aljezur,37.3191,-8.8033,59.77,83,53,7.9,broken clouds,PT,2021-10-24 22:21:40,
426,Carballo,43.213,-8.691,59.02,93,26,3.96,scattered clouds,ES,2021-10-24 22:24:04,
427,Carthage,36.8611,10.3316,66.06,88,40,24.16,scattered clouds,TN,2021-10-24 22:24:05,
428,Havoysund,70.9963,24.6622,27.48,83,63,12.71,broken clouds,NO,2021-10-24 22:24:05,
429,Jardim,-21.4803,-56.1381,72.82,64,80,6.44,broken clouds,BR,2021-10-24 22:24:06,
430,Kamen-Rybolov,44.7481,132.0403,42.12,64,0,6.35,clear sky,RU,2021-10-24 22:24:06,
431,Jumla,29.2747,82.1838,43.36,81,1,4.76,clear sky,NP,2021-10-24 22:24:06,
432,Vanavara,60.34,102.2797,37.0,81,100,14.05,overcast clouds,RU,2021-10-24 22:24:07,
433,Egvekinot,66.3167,-179.1667,5.2,86,27,5.93,scattered clouds,RU,2021-10-24 22:24:07,
434,Saldanha,-33.0117,17.9442,55.45,78,0,16.13,clear sky,ZA,2021-10-24 22:24:07,
435,Moose Factory,51.2585,-80.6094,39.18,93,90,3.44,overcast clouds,CA,2021-10-24 22:24:08,
436,Ostrovnoy,68.0531,39.5131,34.39,73,56,21.72,light rain,RU,2021-10-24 22:21:09,
437,Tabou,4.423,-7.3528,77.4,84,93,6.87,overcast clouds,CI,2021-10-24 22:24:08,
438,Aswan,24.0934,32.907,71.87,27,0,10.07,clear sky,EG,2021-10-24 22:24:09,
439,Pucara,-15.9803,-71.4606,39.33,22,1,13.8,clear sky,PE,2021-10-24 22:24:10,
440,Mount Isa,-20.7333,139.5,78.57,53,100,9.22,light rain,AU,2021-10-24 22:24:10,
441,Carbondale,37.7273,-89.2168,80.38,66,1,13.8,clear sky,US,2021-10-24 22:21:30,
442,Tasiilaq,65.6145,-37.6368,32.16,86,100,45.54,snow,GL,2021-10-24 22:24:11,
443,Tirat Karmel,32.7617,34.9719,65.95,72,0,7.67,clear sky,IL,2021-10-24 22:24:12,
444,Puerto Colombia,10.9878,-74.9547,84.29,77,63,9.22,broken clouds,CO,2021-10-24 22:24:12,
445,Mareeba,-17.0,145.4333,80.31,78,10,6.15,clear sky,AU,2021-10-24 22:24:12,
446,Gilgit,35.9221,74.3087,52.95,70,99,2.17,overcast clouds,PK,2021-10-24 22:24:13,
447,Bud,39.447,-86.1758,74.25,98,97,14.67,overcast clouds,US,2021-10-24 22:24:13,
448,Briancon,44.9,6.65,42.62,55,3,3.42,clear sky,FR,2021-10-24 22:24:13,
449,Kloulklubed,7.0419,134.2556,81.1,73,63,6.35,broken clouds,PW,2021-10-24 22:24:04,
450,Emba,48.8264,58.1442,47.05,49,100,7.76,overcast clouds,KZ,2021-10-24 22:24:15,
451,Rawson,-43.3002,-65.1023,72.88,25,99,35.14,overcast clouds,AR,2021-10-24 22:24:15,
452,Lodwar,3.1191,35.5973,86.67,39,16,16.91,few clouds,KE,2021-10-24 22:24:16,
453,Bilma,18.6853,12.9164,86.47,11,2,6.04,clear sky,NE,2021-10-24 22:22:35,
454,Bocaiuva,-17.1078,-43.815,76.71,73,100,3.74,overcast clouds,BR,2021-10-24 22:24:16,
455,Hualmay,-11.0964,-77.6139,65.34,77,30,12.55,scattered clouds,PE,2021-10-24 22:24:17,
456,Bushehr,28.9684,50.8385,73.49,60,0,0.0,clear sky,IR,2021-10-24 22:24:17,
457,Lasa,46.6166,10.7002,53.06,36,58,2.68,broken clouds,IT,2021-10-24 22:24:18,
458,Anadyr,64.75,177.4833,5.5,85,75,2.24,broken clouds,RU,2021-10-24 22:24:18,
459,Banepa,27.6298,85.5214,54.14,92,5,2.33,clear sky,NP,2021-10-24 22:24:18,
460,Dimbokro,6.6451,-4.7048,73.4,98,89,3.83,overcast clouds,CI,2021-10-24 22:24:19,
461,Tongren,27.7172,109.1853,52.81,74,38,1.23,scattered clouds,CN,2021-10-24 22:24:19,
462,Padang,-0.9492,100.3543,76.37,91,100,2.64,moderate rain,ID,2021-10-24 22:24:19,
463,Jinchang,38.4953,102.1739,45.81,48,98,3.89,overcast clouds,CN,2021-10-24 22:24:20,
464,Abonnema,4.7084,6.7931,77.59,86,75,5.21,broken clouds,NG,2021-10-24 22:24:20,
465,Vesyegonsk,58.664,37.2604,28.6,88,21,5.82,few clouds,RU,2021-10-24 22:24:21,
466,Novoagansk,61.9449,76.6625,28.26,93,56,3.91,broken clouds,RU,2021-10-24 22:21:19,
467,Zambezi,-13.5432,23.1047,69.98,82,91,7.9,overcast clouds,ZM,2021-10-24 22:24:21,
468,Nangong,37.3581,115.3744,49.86,72,17,7.25,few clouds,CN,2021-10-24 22:24:22,
469,Unguia,8.0434,-77.0945,79.18,93,97,2.51,overcast clouds,CO,2021-10-24 22:24:22,
470,Faya,18.3851,42.4509,59.11,52,13,3.02,few clouds,SA,2021-10-24 22:24:23,
471,Olafsvik,64.8945,-23.7142,42.55,90,100,21.36,overcast clouds,IS,2021-10-24 22:24:23,
472,Khorixas,-20.3667,14.9667,58.37,53,2,4.05,clear sky,NA,2021-10-24 22:24:24,
473,Mbaiki,3.8678,17.9892,71.56,97,100,0.4,light rain,CF,2021-10-24 22:24:24,
474,Necochea,-38.5473,-58.7368,66.04,58,6,6.02,clear sky,AR,2021-10-24 22:24:25,
475,Chitrakonda,18.1167,82.0833,67.5,93,63,1.41,broken clouds,IN,2021-10-24 22:24:25,
476,Machachi,-0.5,-78.5667,54.75,99,100,1.99,moderate rain,EC,2021-10-24 22:24:25,
477,Kamloops,50.6665,-120.3192,57.74,55,90,4.0,overcast clouds,CA,2021-10-24 22:20:38,
478,Koslan,63.4564,48.8989,27.68,82,95,7.05,overcast clouds,RU,2021-10-24 22:20:19,
479,Babol,36.5513,52.679,51.87,69,6,4.68,clear sky,IR,2021-10-24 22:24:26,
480,Zarand,30.8127,56.564,54.63,25,0,5.61,clear sky,IR,2021-10-24 22:24:26,
481,Olean,42.0776,-78.4297,50.68,98,100,1.86,light rain,US,2021-10-24 22:24:27,
482,Seoul,37.5683,126.9778,45.84,93,27,2.3,scattered clouds,KR,2021-10-24 22:20:08,
483,Peniche,39.3558,-9.3811,59.74,91,17,6.82,few clouds,PT,2021-10-24 22:24:28,
484,Porto Santo,33.072,-16.3415,68.38,68,40,12.66,scattered clouds,PT,2021-10-24 22:24:28,
485,Tarko-Sale,64.9225,77.785,23.72,87,14,18.05,few clouds,RU,2021-10-24 22:24:28,
486,Newport,51.5877,-2.9984,56.77,92,22,13.04,few clouds,GB,2021-10-24 22:24:29,
487,Morro Bay,35.3658,-120.8499,67.08,94,100,1.99,overcast clouds,US,2021-10-24 22:20:03,
488,Okhotsk,59.3833,143.3,17.51,78,61,9.42,broken clouds,RU,2021-10-24 22:24:30,
489,Namwala,-15.7504,26.4384,78.73,39,55,2.84,broken clouds,ZM,2021-10-24 22:24:31,
490,Trairi,-3.2778,-39.2689,80.1,71,2,11.59,clear sky,BR,2021-10-24 22:20:15,
491,Moree,-29.4667,149.85,69.82,30,69,9.22,broken clouds,AU,2021-10-24 22:24:31,
492,Mamit,23.9333,92.4833,60.94,97,2,1.61,clear sky,IN,2021-10-24 22:24:31,
493,Luganville,-15.5333,167.1667,81.05,80,44,7.85,scattered clouds,VU,2021-10-24 22:24:32,
494,Molepolole,-24.4066,25.4951,71.74,51,57,14.16,broken clouds,BW,2021-10-24 22:24:32,
495,Benin,9.5,2.25,76.46,78,63,3.31,broken clouds,BJ,2021-10-24 22:24:32,
496,Mahibadhoo,3.7833,72.9667,82.6,72,47,15.73,scattered clouds,MV,2021-10-24 22:24:33,
497,Teguldet,57.3064,88.1667,40.33,94,87,7.96,overcast clouds,RU,2021-10-24 22:24:34,
498,Port Shepstone,-30.7414,30.455,62.15,73,100,4.14,overcast clouds,ZA,2021-10-24 22:24:33,
499,Mackenzie,55.2999,-123.1698,41.22,75,1,8.05,clear sky,CA,2021-10-24 22:24:35,
500,Paka,4.6374,103.4368,76.93,94,85,0.0,overcast clouds,MY,2021-10-24 22:24:36,
501,Aldan,58.6031,125.3894,30.67,86,100,9.22,overcast clouds,RU,2021-10-24 22:24:37,
502,Karasburg,-28.0167,18.75,62.56,23,0,12.08,clear sky,NA,2021-10-24 22:24:38,
503,Zverinogolovskoye,54.4586,64.8542,47.25,87,100,7.76,overcast clouds,RU,2021-10-24 22:24:38,
504,Sao Joao Da Barra,-21.6403,-41.0511,75.27,92,100,11.72,overcast clouds,BR,2021-10-24 22:24:38,
505,Iisalmi,63.5592,27.1907,32.02,98,100,7.54,light snow,FI,2021-10-24 22:24:39,
506,Sapouy,11.5544,-1.7736,77.25,75,40,1.66,scattered clouds,BF,2021-10-24 22:24:39,
507,Kourou,5.1552,-52.6478,81.1,93,100,7.78,light rain,GF,2021-10-24 22:24:39,
508,Lorengau,-2.0226,147.2712,81.84,81,80,8.34,broken clouds,PG,2021-10-24 22:24:40,
509,Borsa,47.6553,24.6633,33.75,82,13,2.59,few clouds,RO,2021-10-24 22:24:40,
510,Chegdomyn,51.1167,133.0167,25.97,97,4,1.95,clear sky,RU,2021-10-24 22:24:41,
511,Nhamunda,-2.1861,-56.7131,82.26,74,85,2.42,overcast clouds,BR,2021-10-24 22:24:41,
512,Raudeberg,61.9875,5.1352,53.38,93,100,11.99,overcast clouds,NO,2021-10-24 22:24:41,
513,Marsa Matruh,31.3525,27.2453,70.7,73,7,8.86,clear sky,EG,2021-10-24 22:24:42,
514,Kautokeino,69.0125,23.0412,17.42,95,100,2.33,overcast clouds,NO,2021-10-24 22:24:43,
515,Hit,33.6416,42.8251,69.58,22,0,8.28,clear sky,IQ,2021-10-24 22:24:43,
516,Agrafa,39.136,21.6494,52.3,95,100,7.7,overcast clouds,GR,2021-10-24 22:24:44,
517,Maumere,-8.6199,122.2111,79.68,80,75,1.16,broken clouds,ID,2021-10-24 22:24:44,
518,Harbour Breton,47.4833,-55.7983,55.99,90,100,33.42,overcast clouds,CA,2021-10-24 22:24:44,
